,content,date,event,geo,language,sentiment,source,targets,uri
63,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:55,Other,"Roslyn Heights, NY",en,0.0,twitter,[],https://twitter.com/undefined/status/907861382288289792
64,Yesterday @Apple announced a host of new exciting products. But is the Apple Watch series 3 any good for golf? ⛳️ https://t.co/MuKCTcw3at,2017-09-13 06:59:54,Release,"Shoreham-by-Sea, England",en,0.0,twitter,"[{'sentiment': 0, 'label': 'golf'}]",https://twitter.com/undefined/status/907861379457208320
65,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:54,Other,Los Angeles,en,0.0,twitter,[],https://twitter.com/undefined/status/907861379142475777
66,The way to get started is to quit talking and begin doing. Walt Disney Company,2017-09-13 06:59:54,Other,"Dearborn, MI",en,-0.209,twitter,"[{'sentiment': -0.209, 'label': 'dis'}]",https://twitter.com/undefined/status/907861379343937536
67,@Apple £1000 for a phone. You having a laugh. Does it make calls and send texts. Same as my iphone6 then. All the s… https://t.co/TUgaIdaWJ1,2017-09-13 06:59:53,Other,Wirral,en,0.0,twitter,"[{'sentiment': 0, 'label': 's'}, {'sentiment': 0, 'label': 'phone'}]",https://twitter.com/undefined/status/907861374017130497
68,@ameyaw112 @facebook Too bad @ameyaw112,2017-09-13 06:59:53,Other,"Accra, Ghana",pl,0.0,twitter,"[{'sentiment': 0, 'label': 'too'}, {'sentiment': 0, 'label': 'fb'}]",https://twitter.com/undefined/status/907861373035667456
69,"@amazon @AmazonHelp @amazondeals 
You have the worst courier partner in NCR, INDIA. Even small vendors are able to deliver in 1-2 days.",2017-09-13 06:59:51,Other,Noida ,en,0.0,twitter,"[{'sentiment': 0, 'label': 'ncr'}]",https://twitter.com/undefined/status/907861363774517249
70,@Apple iPhone 8 disappoints. Looks like unsold iPhone 7 stock with added 'magical' technical jargon.,2017-09-13 06:59:49,Other,"London, UK",en,0.0,twitter,[],https://twitter.com/undefined/status/907861357369942016
71,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:49,Other,Massachusetts,en,0.0,twitter,[],https://twitter.com/undefined/status/907861355473993728
72,"@Microsoft @lenovo @Lenovo_in  prob still same let me knw if problem can be resolved or not..  Lenovo comp no. -8009691685 , MS  1395160008",2017-09-13 06:59:49,Other,Delhi,en,0.0,twitter,"[{'sentiment': 0, 'label': 'in'}, {'sentiment': 0, 'label': 'ms'}, {'sentiment': 0, 'label': 'me'}, {'sentiment': 0, 'label': 'if'}]",https://twitter.com/undefined/status/907861355385937920
